report_month,psp,engine_txn_id,provider_event_id,match_status,cause,engine_operation_type,provider_operation_type,engine_status,provider_status,engine_event_timestamp_utc,provider_event_timestamp_utc,engine_currency,provider_currency,engine_amount_local,provider_amount_local,engine_amount_usd,provider_amount_usd,signed_usd_impact
2026-06-01,adyen,TXN-107966,8620000000001785:sale,matched,amount_difference,SALE,SALE,settled,settled,2026-06-18T12:48:00Z,2026-06-18T12:48:00Z,EUR,EUR,59.99000000,35.99000000,65.36,39.21,-26.15
2026-06-01,adyen,TXN-107967,8620000000001786:sale,matched,amount_difference,SALE,SALE,settled,settled,2026-06-21T13:50:00Z,2026-06-21T13:50:00Z,GBP,GBP,21.99000000,11.00000000,28.43,14.22,-14.21
2026-06-01,adyen,,8620000000001792:chargeback,provider_only,chargeback_missing_in_engine,,CHARGEBACK,,settled,,2026-06-26T14:00:00Z,,EUR,,-59.99000000,,-64.79,-64.79
2026-06-01,adyen,TXN-107968,8620000000001787:sale,matched,cutoff_timing,SALE,SALE,settled,settled,2026-06-28T18:46:00Z,2026-07-02T10:00:00Z,EUR,EUR,9.99000000,9.99000000,10.79,10.88,-10.79
2026-06-01,adyen,TXN-107951,8620000000001783:sale,matched,fx_difference,SALE,SALE,settled,settled,2026-06-11T09:26:00Z,2026-06-11T09:26:00Z,GBP,GBP,21.99000000,21.99000000,28.34,28.37,0.03
2026-06-01,adyen,,8620000000001794:sale,provider_only,provider_only,,SALE,,settled,,2026-06-16T14:30:00Z,,EUR,,9.99000000,,10.86,10.86
2026-06-01,adyen,TXN-107959,8620000000001784:sale,matched,status_lifecycle_difference,SALE,SALE,settled,declined,2026-06-08T12:39:00Z,2026-06-08T11:00:00Z,EUR,EUR,9.99000000,9.99000000,10.90,10.90,-10.90
2026-06-01,dlocal,TXN-107983,DL-90001315,matched,amount_difference,REFUND,REFUND,settled,settled,2026-06-18T12:00:00Z,2026-06-18T12:00:00Z,BRL,BRL,-59.97000000,-99.95000000,-11.04,-18.40,-7.36
2026-06-01,dlocal,TXN-107989,,engine_only,engine_only,SALE,,settled,,2026-06-20T12:59:00Z,,CLP,,6990.00000000,,7.42,,-7.42
2026-06-01,dlocal,TXN-107952,DL-90001308,matched,fx_difference,SALE,SALE,settled,settled,2026-06-10T15:33:00Z,2026-06-10T15:33:00Z,BRL,BRL,89.90000000,89.90000000,16.66,17.13,0.47
2026-06-01,dlocal,TXN-107963,DL-90001311,matched,fx_difference,SALE,SALE,settled,settled,2026-06-09T10:08:00Z,2026-06-09T10:08:00Z,BRL,BRL,89.90000000,89.90000000,89.90,16.60,-73.30
2026-06-01,dlocal,TXN-107964,DL-90001312,matched,fx_difference,SALE,SALE,settled,settled,2026-06-15T11:49:00Z,2026-06-15T11:49:00Z,MXN,MXN,799.00000000,799.00000000,799.00,44.08,-754.92
2026-06-01,dlocal,TXN-107965,DL-90001313,matched,fx_difference,SALE,SALE,settled,settled,2026-06-22T11:36:00Z,2026-06-22T11:36:00Z,COP,COP,199900.00000000,199900.00000000,199900.00,48.78,-199851.22
2026-06-01,dlocal,TXN-107990,DL-90001318,matched,rounding_difference,SALE,SALE,settled,settled,2026-06-05T10:03:00Z,2026-06-05T10:03:00Z,ARS,ARS,15999.00000000,15999.00000000,13.44,13.45,0.01
2026-06-01,dlocal,TXN-107991,DL-90001319,matched,rounding_difference,SALE,SALE,settled,settled,2026-06-23T09:45:00Z,2026-06-23T09:45:00Z,ARS,ARS,15999.00000000,15999.00000000,13.36,13.37,0.01
2026-06-01,dlocal,TXN-107961,DL-90001310,matched,status_lifecycle_difference,SALE,SALE,settled,disputed,2026-06-14T16:16:00Z,2026-06-14T16:16:00Z,BRL,BRL,34.90000000,34.90000000,6.45,6.45,-6.45
2026-06-01,paypal_eu,TXN-107950,E0RTDA3N6XGF1YNLJ,matched,fx_difference,SALE,SALE,settled,settled,2026-06-16T10:32:00Z,2026-06-16T10:32:00Z,EUR,EUR,59.99000000,59.99000000,65.75,65.19,-0.56
2026-06-01,paypal_eu,,LCESPNBKZNLLA8UBX,provider_only,refund_missing_in_engine,,REFUND,,settled,,2026-06-25T11:00:00Z,,EUR,,-24.99000000,,-26.99,-26.99
2026-06-01,paypal_eu,,X2KQRFAWJMU8430TC,provider_only,reversal_missing_in_engine,,REVERSAL,,settled,,2026-06-20T13:00:00Z,,EUR,,-59.99000000,,-65.36,-65.36
2026-06-01,paypal_us,TXN-107960,11EZAV8DU80K0J5GN,matched,status_lifecycle_difference,SALE,SALE,pending,settled,,2026-06-12T14:25:00Z,USD,USD,24.99000000,24.99000000,24.99,24.99,24.99
