report_month,psp,cause,row_count,engine_record_count,provider_record_count,record_count_difference,engine_financial_count,provider_financial_count,financial_count_difference,engine_amount_usd,provider_amount_usd,signed_usd_impact,absolute_usd_impact,absolute_impact_share_pct
2026-06-01,adyen,amount_difference,2,2,2,0,2,2,0,93.79,53.43,-40.36,40.36,0.0201
2026-06-01,adyen,chargeback_missing_in_engine,1,0,1,1,0,1,1,0.00,-64.79,-64.79,64.79,0.0322
2026-06-01,adyen,cutoff_timing,1,1,0,-1,1,0,-1,10.79,0.00,-10.79,10.79,0.0054
2026-06-01,adyen,fx_difference,1,1,1,0,1,1,0,28.34,28.37,0.03,0.03,0.0000
2026-06-01,adyen,matched,1731,1731,1731,0,1598,1598,0,32768.27,32768.27,0.00,0.00,0.0000
2026-06-01,adyen,provider_only,1,0,1,1,0,1,1,0.00,10.86,10.86,10.86,0.0054
2026-06-01,adyen,status_lifecycle_difference,1,1,1,0,1,0,-1,10.90,0.00,-10.90,10.90,0.0054
2026-06-01,dlocal,amount_difference,1,1,1,0,1,1,0,-11.04,-18.40,-7.36,7.36,0.0037
2026-06-01,dlocal,engine_only,1,1,0,-1,1,0,-1,7.42,0.00,-7.42,7.42,0.0037
2026-06-01,dlocal,fx_difference,4,4,4,0,4,4,0,200805.56,126.59,-200678.97,200679.91,99.8622
2026-06-01,dlocal,matched,1270,1270,1270,0,1161,1161,0,14807.34,14807.34,0.00,0.00,0.0000
2026-06-01,dlocal,rounding_difference,2,2,2,0,2,2,0,26.80,26.82,0.02,0.02,0.0000
2026-06-01,dlocal,status_lifecycle_difference,1,1,1,0,1,0,-1,6.45,0.00,-6.45,6.45,0.0032
2026-06-01,google_play,matched,776,776,776,0,776,776,0,14744.63,14744.63,0.00,0.00,0.0000
2026-06-01,paypal_eu,fx_difference,1,1,1,0,1,1,0,65.75,65.19,-0.56,0.56,0.0003
2026-06-01,paypal_eu,matched,1830,1830,1830,0,1684,1684,0,36257.26,36257.26,0.00,0.00,0.0000
2026-06-01,paypal_eu,refund_missing_in_engine,1,0,1,1,0,1,1,0.00,-26.99,-26.99,26.99,0.0134
2026-06-01,paypal_eu,reversal_missing_in_engine,1,0,1,1,0,1,1,0.00,-65.36,-65.36,65.36,0.0325
2026-06-01,paypal_us,matched,2090,2090,2090,0,1932,1932,0,36046.31,36046.31,0.00,0.00,0.0000
2026-06-01,paypal_us,status_lifecycle_difference,1,1,1,0,0,1,1,0.00,24.99,24.99,24.99,0.0124
