Company Account,Merchant Account,Psp Reference,Merchant Reference,Record Type,Creation Date,TimeZone,Gross Currency,Gross Debit,Gross Credit,Commission,Markup,Net Currency,Net Debit,Net Credit,Batch Number
LumoGroup,LumoAPP_US,8620000000000623,ORD-504573,Authorised,2026-06-01 09:13:28,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000500,ORD-504450,Authorised,2026-06-01 09:15:43,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000115,ORD-504065,Authorised,2026-06-01 09:18:57,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000623,ORD-504573,Settled,2026-06-01 09:36:28,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoAPP_US,8620000000000575,ORD-504525,Authorised,2026-06-01 09:41:36,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001232,ORD-505182,Authorised,2026-06-01 09:45:50,Europe/Amsterdam,GBP,,21.99,,,GBP,,,23
LumoGroup,LumoAPP_US,8620000000000182,ORD-504132,Authorised,2026-06-01 09:57:39,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000500,ORD-504450,Settled,2026-06-01 10:03:43,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001622,ORD-505572,Authorised,2026-06-01 10:06:07,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000003,ORD-503953,Authorised,2026-06-01 10:08:56,Europe/Amsterdam,GBP,,8.99,,,GBP,,,23
LumoGroup,LumoECOM_EU,8620000000000047,ORD-503997,Authorised,2026-06-01 10:11:16,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001160,ORD-505110,Authorised,2026-06-01 10:13:05,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000358,ORD-504308,Authorised,2026-06-01 10:14:23,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001592,ORD-505542,Authorised,2026-06-01 10:14:24,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001124,ORD-505074,Authorised,2026-06-01 10:23:31,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000047,ORD-503997,Settled,2026-06-01 10:34:16,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoAPP_US,8620000000000182,ORD-504132,Settled,2026-06-01 10:35:39,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001592,ORD-505542,Settled,2026-06-01 10:39:24,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoECOM_EU,8620000000000003,ORD-503953,Settled,2026-06-01 10:41:56,Europe/Amsterdam,GBP,,8.99,0.17,0.05,GBP,,8.77,23
LumoGroup,LumoECOM_EU,8620000000000785,ORD-504735,Authorised,2026-06-01 10:46:58,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001160,ORD-505110,Settled,2026-06-01 10:49:05,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000309,ORD-504259,Authorised,2026-06-01 10:49:16,Europe/Amsterdam,EUR,,59.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000575,ORD-504525,Settled,2026-06-01 10:50:36,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000115,ORD-504065,Settled,2026-06-01 10:50:57,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoAPP_US,8620000000000218,ORD-504168,Authorised,2026-06-01 11:08:20,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001124,ORD-505074,Settled,2026-06-01 11:24:31,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoECOM_EU,8620000000001232,ORD-505182,Settled,2026-06-01 11:27:50,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,23
LumoGroup,LumoECOM_EU,8620000000001622,ORD-505572,Settled,2026-06-01 11:32:07,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000358,ORD-504308,Settled,2026-06-01 11:39:23,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001074,ORD-505024,Authorised,2026-06-01 11:39:32,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000814,ORD-504764,Authorised,2026-06-01 11:42:25,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000001347,ORD-505297,Authorised,2026-06-01 11:47:43,Europe/Amsterdam,USD,,4.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000309,ORD-504259,Settled,2026-06-01 11:49:16,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoAPP_US,8620000000000218,ORD-504168,Settled,2026-06-01 11:57:20,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000785,ORD-504735,Settled,2026-06-01 12:02:58,Europe/Amsterdam,EUR,,59.99,1.14,0.36,EUR,,58.49,23
LumoGroup,LumoAPP_US,8620000000000100,ORD-504050,Authorised,2026-06-01 12:11:43,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000001308,ORD-505258,Authorised,2026-06-01 12:13:06,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000762,ORD-504712,Authorised,2026-06-01 12:18:40,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000549,ORD-504499,Authorised,2026-06-01 12:19:18,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000814,ORD-504764,Settled,2026-06-01 12:36:25,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000878,ORD-504828,Authorised,2026-06-01 12:36:50,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000000326,ORD-504276,Authorised,2026-06-01 12:39:01,Europe/Amsterdam,USD,,9.99,,,USD,,,23
LumoGroup,LumoAPP_US,8620000000001347,ORD-505297,Settled,2026-06-01 12:53:43,Europe/Amsterdam,USD,,4.99,0.09,0.03,USD,,4.87,23
LumoGroup,LumoECOM_EU,8620000000000762,ORD-504712,Settled,2026-06-01 12:55:40,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000100,ORD-504050,Settled,2026-06-01 13:06:43,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000646,ORD-504596,Authorised,2026-06-01 13:08:08,Europe/Amsterdam,GBP,,21.99,,,GBP,,,23
LumoGroup,LumoECOM_EU,8620000000001074,ORD-505024,Settled,2026-06-01 13:21:32,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001004,ORD-504954,Authorised,2026-06-01 13:25:59,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000444,ORD-504394,Authorised,2026-06-01 13:31:13,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000607,ORD-504557,Authorised,2026-06-01 13:34:03,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000261,ORD-504211,Authorised,2026-06-01 13:34:11,Europe/Amsterdam,EUR,,24.99,,,EUR,,,23
LumoGroup,LumoAPP_US,8620000000000789,ORD-504739,Authorised,2026-06-01 13:39:54,Europe/Amsterdam,USD,,24.99,,,USD,,,23
LumoGroup,LumoECOM_EU,8620000000000261,ORD-504211,Settled,2026-06-01 13:44:11,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoECOM_EU,8620000000000549,ORD-504499,Settled,2026-06-01 13:49:18,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000001308,ORD-505258,Settled,2026-06-01 13:55:06,Europe/Amsterdam,EUR,,24.99,0.47,0.15,EUR,,24.37,23
LumoGroup,LumoAPP_US,8620000000000878,ORD-504828,Settled,2026-06-01 13:56:50,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000849,ORD-504799,Authorised,2026-06-01 13:56:56,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000607,ORD-504557,Settled,2026-06-01 14:08:03,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000022,ORD-503972,Authorised,2026-06-01 14:10:12,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000001004,ORD-504954,Settled,2026-06-01 14:18:59,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoAPP_US,8620000000000789,ORD-504739,Settled,2026-06-01 14:20:54,Europe/Amsterdam,USD,,24.99,0.47,0.15,USD,,24.37,23
LumoGroup,LumoAPP_US,8620000000000326,ORD-504276,Settled,2026-06-01 14:28:01,Europe/Amsterdam,USD,,9.99,0.19,0.06,USD,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000444,ORD-504394,Settled,2026-06-01 14:32:13,Europe/Amsterdam,EUR,,9.99,0.19,0.06,EUR,,9.74,23
LumoGroup,LumoECOM_EU,8620000000000404,ORD-504354,Authorised,2026-06-01 14:40:46,Europe/Amsterdam,EUR,,9.99,,,EUR,,,23
LumoGroup,LumoECOM_EU,8620000000000646,ORD-504596,Settled,2026-06-01 14:41:08,Europe/Amsterdam,GBP,,21.99,0.42,0.13,GBP,,21.44,23
