transaction_id,invoice_id,transaction_type,status,created_at_utc,country,currency,currency_exponent,local_amount,fx_rate,usd_amount,fee_usd
DL-90001309,ORD-507781,PAYMENT,PAID,2026-06-01 00:05:00,MX,MXN,2,12900,18.1548,7.11,0.32
DL-90001242,ORD-506937,PAYMENT,REJECTED,2026-06-01 07:25:52,CO,COP,2,19990000,3984.0637,50.17,2.26
DL-90000404,ORD-506099,PAYMENT,PAID,2026-06-01 08:17:24,MX,MXN,2,12900,18.1772,7.10,0.32
DL-90000750,ORD-506445,PAYMENT,PAID,2026-06-01 08:27:11,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90001024,ORD-506719,PAYMENT,PAID,2026-06-01 08:29:13,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000922,ORD-506617,PAYMENT,PAID,2026-06-01 08:43:54,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000210,ORD-505905,PAYMENT,PAID,2026-06-01 08:53:27,BR,BRL,2,8990,5.4195,16.59,0.75
DL-90000390,ORD-506085,PAYMENT,PAID,2026-06-01 08:53:45,CL,CLP,0,6990,941.6196,7.42,0.33
DL-90000163,ORD-505858,PAYMENT,PAID,2026-06-01 09:41:02,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000032,ORD-505727,PAYMENT,REJECTED,2026-06-01 09:54:35,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000791,ORD-506486,PAYMENT,PAID,2026-06-01 10:39:08,MX,MXN,2,5900,18.1772,3.25,0.15
DL-90000482,ORD-506177,PAYMENT,PAID,2026-06-01 11:32:01,MX,MXN,2,12900,18.1772,7.10,0.32
DL-90000655,ORD-506350,PAYMENT,PAID,2026-06-01 11:32:57,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000160,ORD-505855,PAYMENT,PAID,2026-06-01 12:36:00,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000478,ORD-506173,PAYMENT,PAID,2026-06-01 12:41:20,MX,MXN,2,12900,18.1772,7.10,0.32
DL-90000475,ORD-506170,PAYMENT,PAID,2026-06-01 12:46:50,CO,COP,2,2990000,3984.0637,7.50,0.34
DL-90000045,ORD-505740,PAYMENT,PAID,2026-06-01 13:20:58,MX,MXN,2,32900,18.1772,18.10,0.81
DL-90000491,ORD-506186,PAYMENT,PAID,2026-06-01 13:24:02,BR,BRL,2,3490,5.4195,6.44,0.29
DL-90000992,ORD-506687,PAYMENT,PAID,2026-06-01 14:38:59,AR,ARS,2,599900,1186.2396,5.06,0.23
