rate_date,currency,usd_rate,published_at
2026-05-25,ARS,0.000839,2026-05-25T16:00:00Z
2026-05-25,BRL,0.184871,2026-05-25T16:00:00Z
2026-05-25,CLP,0.001060,2026-05-25T16:00:00Z
2026-05-25,COP,0.000248,2026-05-25T16:00:00Z
2026-05-25,EUR,1.093525,2026-05-25T16:00:00Z
2026-05-25,GBP,1.272727,2026-05-25T16:00:00Z
2026-05-25,MXN,0.055219,2026-05-25T16:00:00Z
2026-05-26,ARS,0.000840,2026-05-26T16:00:00Z
2026-05-26,BRL,0.184916,2026-05-26T16:00:00Z
2026-05-26,CLP,0.001062,2026-05-26T16:00:00Z
2026-05-26,COP,0.000249,2026-05-26T16:00:00Z
2026-05-26,EUR,1.094272,2026-05-26T16:00:00Z
2026-05-26,GBP,1.274533,2026-05-26T16:00:00Z
2026-05-26,MXN,0.055002,2026-05-26T16:00:00Z
2026-05-27,ARS,0.000839,2026-05-27T16:00:00Z
2026-05-27,BRL,0.185106,2026-05-27T16:00:00Z
2026-05-27,CLP,0.001063,2026-05-27T16:00:00Z
2026-05-27,COP,0.000250,2026-05-27T16:00:00Z
2026-05-27,EUR,1.091327,2026-05-27T16:00:00Z
2026-05-27,GBP,1.277153,2026-05-27T16:00:00Z
2026-05-27,MXN,0.055192,2026-05-27T16:00:00Z
2026-05-28,ARS,0.000842,2026-05-28T16:00:00Z
2026-05-28,BRL,0.184618,2026-05-28T16:00:00Z
2026-05-28,CLP,0.001066,2026-05-28T16:00:00Z
2026-05-28,COP,0.000251,2026-05-28T16:00:00Z
2026-05-28,EUR,1.087416,2026-05-28T16:00:00Z
2026-05-28,GBP,1.277098,2026-05-28T16:00:00Z
2026-05-28,MXN,0.055039,2026-05-28T16:00:00Z
2026-05-29,ARS,0.000844,2026-05-29T16:00:00Z
2026-05-29,BRL,0.183953,2026-05-29T16:00:00Z
2026-05-29,CLP,0.001065,2026-05-29T16:00:00Z
2026-05-29,COP,0.000251,2026-05-29T16:00:00Z
2026-05-29,EUR,1.091045,2026-05-29T16:00:00Z
2026-05-29,GBP,1.281376,2026-05-29T16:00:00Z
2026-05-29,MXN,0.055082,2026-05-29T16:00:00Z
2026-06-01,ARS,0.000843,2026-06-01T16:00:00Z
2026-06-01,BRL,0.184519,2026-06-01T16:00:00Z
2026-06-01,CLP,0.001062,2026-06-01T16:00:00Z
2026-06-01,COP,0.000251,2026-06-01T16:00:00Z
2026-06-01,EUR,1.091728,2026-06-01T16:00:00Z
2026-06-01,GBP,1.284816,2026-06-01T16:00:00Z
2026-06-01,MXN,0.055014,2026-06-01T16:00:00Z
2026-06-02,ARS,0.000844,2026-06-02T16:00:00Z
2026-06-02,BRL,0.183994,2026-06-02T16:00:00Z
2026-06-02,CLP,0.001059,2026-06-02T16:00:00Z
2026-06-02,COP,0.000251,2026-06-02T16:00:00Z
2026-06-02,EUR,1.095953,2026-06-02T16:00:00Z
2026-06-02,GBP,1.283249,2026-06-02T16:00:00Z
2026-06-02,MXN,0.054994,2026-06-02T16:00:00Z
2026-06-03,ARS,0.000841,2026-06-03T16:00:00Z
2026-06-03,BRL,0.184307,2026-06-03T16:00:00Z
2026-06-03,CLP,0.001062,2026-06-03T16:00:00Z
2026-06-03,COP,0.000251,2026-06-03T16:00:00Z
2026-06-03,EUR,1.094609,2026-06-03T16:00:00Z
2026-06-03,GBP,1.282347,2026-06-03T16:00:00Z
2026-06-03,MXN,0.055176,2026-06-03T16:00:00Z
2026-06-04,ARS,0.000841,2026-06-04T16:00:00Z
2026-06-04,BRL,0.184956,2026-06-04T16:00:00Z
2026-06-04,CLP,0.001065,2026-06-04T16:00:00Z
2026-06-04,COP,0.000252,2026-06-04T16:00:00Z
2026-06-04,EUR,1.092047,2026-06-04T16:00:00Z
2026-06-04,GBP,1.286215,2026-06-04T16:00:00Z
2026-06-04,MXN,0.055091,2026-06-04T16:00:00Z
2026-06-05,ARS,0.000840,2026-06-05T16:00:00Z
2026-06-05,BRL,0.184711,2026-06-05T16:00:00Z
2026-06-05,CLP,0.001064,2026-06-05T16:00:00Z
2026-06-05,COP,0.000251,2026-06-05T16:00:00Z
2026-06-05,EUR,1.094662,2026-06-05T16:00:00Z
