Earnings report for Lumo Wellness (merchant account: LumoPlayMain). All dates and times are in America/Los_Angeles.
Transaction Date,Transaction Time,Transaction Type,Product ID,Buyer Country,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
"Jun 1, 2026",00:28:46,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 1, 2026",00:28:46,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 1, 2026",00:53:08,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",00:53:08,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",01:35:01,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",01:35:01,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",03:15:41,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",03:15:41,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",03:20:42,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",03:20:42,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",05:13:21,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 1, 2026",05:13:21,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 1, 2026",05:23:16,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 1, 2026",05:23:16,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 1, 2026",05:46:49,Charge,sub_quarterly,US,USD,24.99,1,USD,24.99
"Jun 1, 2026",05:46:49,Google fee,sub_quarterly,US,USD,-3.75,1,USD,-3.75
"Jun 1, 2026",05:55:38,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",05:55:38,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",06:29:38,Charge,sub_quarterly,DE,EUR,24.99,1.091728,USD,27.28
"Jun 1, 2026",06:29:38,Google fee,sub_quarterly,DE,EUR,-3.75,1.091728,USD,-4.09
"Jun 1, 2026",07:22:15,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jun 1, 2026",07:22:15,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
"Jun 1, 2026",07:23:43,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 1, 2026",07:23:43,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 1, 2026",08:49:22,Charge,sub_quarterly,DE,EUR,24.99,1.091728,USD,27.28
"Jun 1, 2026",08:49:22,Google fee,sub_quarterly,DE,EUR,-3.75,1.091728,USD,-4.09
"Jun 1, 2026",09:00:14,Charge,sub_monthly,BR,BRL,34.90,0.184519,USD,6.44
"Jun 1, 2026",09:00:14,Google fee,sub_monthly,BR,BRL,-5.24,0.184519,USD,-0.97
"Jun 1, 2026",09:02:53,Charge,sub_annual,US,USD,59.99,1,USD,59.99
"Jun 1, 2026",09:02:53,Google fee,sub_annual,US,USD,-9.00,1,USD,-9.00
"Jun 1, 2026",09:13:20,Charge,coach_addon,DE,EUR,4.99,1.091728,USD,5.45
"Jun 1, 2026",09:13:20,Google fee,coach_addon,DE,EUR,-0.75,1.091728,USD,-0.82
"Jun 1, 2026",09:48:19,Charge,coach_addon,BR,BRL,16.90,0.184519,USD,3.12
"Jun 1, 2026",09:48:19,Google fee,coach_addon,BR,BRL,-2.54,0.184519,USD,-0.47
"Jun 1, 2026",09:54:23,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",09:54:23,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",10:36:32,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",10:36:32,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",11:35:54,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jun 1, 2026",11:35:54,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jun 1, 2026",11:58:26,Charge,sub_monthly,DE,EUR,9.99,1.091728,USD,10.91
"Jun 1, 2026",11:58:26,Google fee,sub_monthly,DE,EUR,-1.50,1.091728,USD,-1.64
"Jun 1, 2026",12:03:11,Charge,sub_monthly,DE,EUR,9.99,1.091728,USD,10.91
"Jun 1, 2026",12:03:11,Google fee,sub_monthly,DE,EUR,-1.50,1.091728,USD,-1.64
"Jun 1, 2026",13:08:39,Charge,sub_quarterly,GB,GBP,21.99,1.284816,USD,28.25
"Jun 1, 2026",13:08:39,Google fee,sub_quarterly,GB,GBP,-3.30,1.284816,USD,-4.24
"Jun 2, 2026",00:36:14,Charge,sub_monthly,BR,BRL,34.90,0.183994,USD,6.42
"Jun 2, 2026",00:36:14,Google fee,sub_monthly,BR,BRL,-5.24,0.183994,USD,-0.96
"Jun 2, 2026",01:02:50,Charge,sub_annual,DE,EUR,59.99,1.095953,USD,65.75
