Earnings report for Lumo Wellness (merchant account: LumoPlayMain). All dates and times are in America/Los_Angeles.
Transaction Date,Transaction Time,Transaction Type,Product ID,Buyer Country,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
"Jul 1, 2026",02:40:10,Charge refund,sub_monthly,DE,EUR,-9.99,1.085329,USD,-10.84
"Jul 1, 2026",03:50:07,Charge,sub_monthly,DE,EUR,9.99,1.085329,USD,10.84
"Jul 1, 2026",03:50:07,Google fee,sub_monthly,DE,EUR,-1.50,1.085329,USD,-1.63
"Jul 1, 2026",05:43:32,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 1, 2026",05:43:32,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 1, 2026",06:11:32,Charge,sub_monthly,MX,MXN,129.00,0.055003,USD,7.10
"Jul 1, 2026",06:11:32,Google fee,sub_monthly,MX,MXN,-19.35,0.055003,USD,-1.07
"Jul 1, 2026",08:49:29,Charge,sub_monthly,US,USD,9.99,1,USD,9.99
"Jul 1, 2026",08:49:29,Google fee,sub_monthly,US,USD,-1.50,1,USD,-1.50
"Jul 1, 2026",09:58:14,Charge,sub_monthly,BR,BRL,34.90,0.183283,USD,6.40
"Jul 1, 2026",09:58:14,Google fee,sub_monthly,BR,BRL,-5.24,0.183283,USD,-0.96
"Jul 1, 2026",10:06:31,Charge,sub_monthly,GB,GBP,8.99,1.297694,USD,11.67
"Jul 1, 2026",10:06:31,Google fee,sub_monthly,GB,GBP,-1.35,1.297694,USD,-1.75
"Jul 1, 2026",10:35:47,Charge,coach_addon,US,USD,4.99,1,USD,4.99
"Jul 1, 2026",10:35:47,Google fee,coach_addon,US,USD,-0.75,1,USD,-0.75
"Jul 1, 2026",10:38:15,Charge,sub_monthly,DE,EUR,9.99,1.085329,USD,10.84
"Jul 1, 2026",10:38:15,Google fee,sub_monthly,DE,EUR,-1.50,1.085329,USD,-1.63
