txn_id,order_id,operation_type,status,psp,psp_reference,sku,country,currency,amount_local,fx_rate_applied,fx_date_applied,amount_usd,created_at_utc,captured_at_utc
TXN-107955,ORD-507781,SALE,settled,dlocal,DL-90001309,sub_monthly,MX,MXN,129.00,0.055082,2026-05-29,7.11,2026-05-31T23:59:50Z,2026-06-01T00:05:00Z
TXN-100884,ORD-500884,SALE,settled,paypal_us,7FTLSR4XAT5TKVLKF,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T07:03:11Z,2026-06-01T07:12:11Z
TXN-106445,ORD-506445,SALE,settled,dlocal,DL-90000750,sub_monthly,CO,COP,29900.00,0.000251,2026-06-01,7.50,2026-06-01T07:11:11Z,2026-06-01T08:27:11Z
TXN-106099,ORD-506099,SALE,settled,dlocal,DL-90000404,sub_monthly,MX,MXN,129.00,0.055014,2026-06-01,7.10,2026-06-01T07:11:24Z,2026-06-01T08:17:24Z
TXN-105905,ORD-505905,SALE,settled,dlocal,DL-90000210,sub_quarterly,BR,BRL,89.90,0.184519,2026-06-01,16.59,2026-06-01T07:12:27Z,2026-06-01T08:53:27Z
TXN-104573,ORD-504573,SALE,settled,adyen,8620000000000623,sub_quarterly,US,USD,24.99,1.000000,2026-06-01,24.99,2026-06-01T07:13:28Z,2026-06-01T07:36:28Z
TXN-104450,ORD-504450,SALE,settled,adyen,8620000000000500,sub_monthly,FR,EUR,9.99,1.091728,2026-06-01,10.91,2026-06-01T07:15:43Z,2026-06-01T08:03:43Z
TXN-100591,ORD-500591,SALE,settled,paypal_us,S1VNZT7ACC5E6HNYD,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T07:16:18Z,2026-06-01T07:59:18Z
TXN-104065,ORD-504065,SALE,settled,adyen,8620000000000115,sub_quarterly,NL,EUR,24.99,1.091728,2026-06-01,27.28,2026-06-01T07:18:57Z,2026-06-01T08:50:57Z
TXN-100132,ORD-500132,SALE,settled,paypal_us,7R82A7SLSXJAD72J1,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T07:19:32Z,2026-06-01T07:54:32Z
TXN-107217,ORD-507217,SALE,settled,google_play,,sub_annual,US,USD,59.99,1.000000,2026-06-01,59.99,2026-06-01T07:19:46Z,2026-06-01T07:28:46Z
TXN-106085,ORD-506085,SALE,settled,dlocal,DL-90000390,sub_monthly,CL,CLP,6990,0.001062,2026-06-01,7.42,2026-06-01T07:22:45Z,2026-06-01T08:53:45Z
TXN-102669,ORD-502669,SALE,settled,paypal_eu,ZEW9RTFHKTBFQT5E3,sub_monthly,GB,GBP,8.99,1.284816,2026-06-01,11.55,2026-06-01T07:23:07Z,2026-06-01T08:17:07Z
TXN-106937,ORD-506937,SALE,declined,dlocal,DL-90001242,sub_annual,CO,COP,199900.00,0.000251,2026-06-01,50.17,2026-06-01T07:25:52Z,
TXN-100479,ORD-500479,SALE,settled,paypal_us,BTDR7VQTQ8G4GTMGS,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T07:27:29Z,2026-06-01T08:03:29Z
TXN-107016,ORD-507016,SALE,settled,google_play,,sub_monthly,US,USD,9.99,1.000000,2026-06-01,9.99,2026-06-01T07:32:01Z,2026-06-01T08:35:01Z
